Wins,diff_text_success,goals_aginest,goals_for_GF,losses,name,ot_losses,url,win_percent,year
49,,222.0,272.0,28.0,Vancouver Canucks,5.0,https://www.scrapethissite.com/pages/forms/?page_num=21,0.598,2009.0
54,,233.0,318.0,15.0,Washington Capitals,13.0,https://www.scrapethissite.com/pages/forms/?page_num=21,0.659,2009.0
32,,239.0,212.0,40.0,Edmonton Oilers,10.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.39,2011.0
38,,227.0,203.0,26.0,Florida Panthers,18.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.463,2011.0
40,,179.0,194.0,27.0,Los Angeles Kings,15.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.488,2011.0
35,,226.0,177.0,36.0,Minnesota Wild,11.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.427,2011.0
31,,226.0,212.0,35.0,Montreal Canadiens,16.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.378,2011.0
41,,251.0,235.0,35.0,Edmonton Oilers,6.0,https://www.scrapethissite.com/pages/forms/?page_num=18,0.5,2007.0
38,,226.0,216.0,35.0,Florida Panthers,9.0,https://www.scrapethissite.com/pages/forms/?page_num=18,0.463,2007.0
32,,266.0,231.0,43.0,Los Angeles Kings,7.0,https://www.scrapethissite.com/pages/forms/?page_num=18,0.39,2007.0
44,,218.0,223.0,28.0,Minnesota Wild,10.0,https://www.scrapethissite.com/pages/forms/?page_num=18,0.537,2007.0
47,,222.0,262.0,25.0,Montreal Canadiens,10.0,https://www.scrapethissite.com/pages/forms/?page_num=18,0.573,2007.0
41,,229.0,230.0,32.0,Nashville Predators,9.0,https://www.scrapethissite.com/pages/forms/?page_num=18,0.5,2007.0
46,,197.0,206.0,29.0,New Jersey Devils,7.0,https://www.scrapethissite.com/pages/forms/?page_num=18,0.561,2007.0
32,,248.0,195.0,43.0,Edmonton Oilers,7.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.39,2006.0
35,,257.0,247.0,31.0,Florida Panthers,16.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.427,2006.0
27,,283.0,227.0,41.0,Los Angeles Kings,14.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.329,2006.0
45,,259.0,267.0,26.0,Philadelphia Flyers,11.0,https://www.scrapethissite.com/pages/forms/?page_num=16,0.549,2005.0
38,,271.0,246.0,39.0,Phoenix Coyotes,5.0,https://www.scrapethissite.com/pages/forms/?page_num=16,0.463,2005.0
22,,316.0,244.0,46.0,Pittsburgh Penguins,14.0,https://www.scrapethissite.com/pages/forms/?page_num=16,0.268,2005.0
44,,242.0,266.0,27.0,San Jose Sharks,11.0,https://www.scrapethissite.com/pages/forms/?page_num=16,0.537,2005.0
21,,292.0,197.0,46.0,St. Louis Blues,15.0,https://www.scrapethissite.com/pages/forms/?page_num=16,0.256,2005.0
43,,260.0,252.0,33.0,Tampa Bay Lightning,6.0,https://www.scrapethissite.com/pages/forms/?page_num=16,0.524,2005.0
41,,270.0,257.0,33.0,Toronto Maple Leafs,8.0,https://www.scrapethissite.com/pages/forms/?page_num=16,0.5,2005.0
30,,229.0,195.0,40.0,Florida Panthers,12.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.366,2010.0
46,,198.0,219.0,30.0,Los Angeles Kings,6.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.561,2010.0
47,,235.0,239.0,30.0,Anaheim Ducks,5.0,https://www.scrapethissite.com/pages/forms/?page_num=21,0.573,2010.0
34,,269.0,223.0,36.0,Atlanta Thrashers,12.0,https://www.scrapethissite.com/pages/forms/?page_num=21,0.415,2010.0
46,,195.0,246.0,25.0,Boston Bruins,11.0,https://www.scrapethissite.com/pages/forms/?page_num=21,0.561,2010.0
48,,210.0,237.0,26.0,Nashville Predators,8.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.585,2011.0
48,,209.0,228.0,28.0,New Jersey Devils,6.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.585,2011.0
34,,255.0,203.0,37.0,New York Islanders,11.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.415,2011.0
51,,187.0,226.0,24.0,New York Rangers,7.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.622,2011.0
41,,240.0,249.0,31.0,Ottawa Senators,10.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.5,2011.0
47,,232.0,264.0,26.0,Philadelphia Flyers,9.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.573,2011.0
48,,191.0,235.0,26.0,Minnesota Wild,8.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.585,2006.0
42,,256.0,245.0,34.0,Montreal Canadiens,6.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.512,2006.0
51,,212.0,272.0,23.0,Nashville Predators,8.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.622,2006.0
49,,201.0,216.0,24.0,New Jersey Devils,9.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.598,2006.0
40,,240.0,248.0,30.0,New York Islanders,12.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.488,2006.0
39,,233.0,206.0,35.0,Minnesota Wild,8.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.476,2010.0
44,,209.0,216.0,30.0,Montreal Canadiens,8.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.537,2010.0
44,,194.0,219.0,27.0,Nashville Predators,11.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.537,2010.0
38,,209.0,174.0,39.0,New Jersey Devils,5.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.463,2010.0
30,,264.0,229.0,39.0,New York Islanders,13.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.366,2010.0
44,,198.0,233.0,33.0,New York Rangers,5.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.537,2010.0
32,,250.0,192.0,40.0,Ottawa Senators,10.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.39,2010.0
47,,223.0,259.0,23.0,Philadelphia Flyers,12.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.573,2010.0
42,,204.0,216.0,27.0,Phoenix Coyotes,13.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.512,2011.0
51,,221.0,282.0,25.0,Pittsburgh Penguins,6.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.622,2011.0
35,,243.0,194.0,38.0,New York Islanders,9.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.427,2007.0
42,,199.0,213.0,27.0,New York Rangers,13.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.512,2007.0
43,,247.0,261.0,31.0,Ottawa Senators,8.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.524,2007.0
42,,216.0,242.0,30.0,New York Rangers,10.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.512,2006.0
48,,222.0,288.0,25.0,Ottawa Senators,9.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.585,2006.0
22,,303.0,214.0,48.0,Philadelphia Flyers,12.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.268,2006.0
31,,284.0,216.0,46.0,Phoenix Coyotes,5.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.378,2006.0
34,,234.0,207.0,37.0,Los Angeles Kings,11.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.415,2008.0
40,,200.0,219.0,33.0,Minnesota Wild,9.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.488,2008.0
43,,226.0,231.0,26.0,Phoenix Coyotes,13.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.524,2010.0
49,,199.0,238.0,25.0,Pittsburgh Penguins,8.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.598,2010.0
48,,213.0,248.0,25.0,San Jose Sharks,9.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.585,2010.0
38,,234.0,240.0,33.0,St. Louis Blues,11.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.463,2010.0
46,,240.0,247.0,25.0,Tampa Bay Lightning,11.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.561,2010.0
42,,233.0,248.0,29.0,Philadelphia Flyers,11.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.512,2007.0
38,,231.0,214.0,37.0,Phoenix Coyotes,7.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.463,2007.0
47,,216.0,247.0,27.0,Pittsburgh Penguins,8.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.573,2007.0
49,,193.0,222.0,23.0,San Jose Sharks,10.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.598,2007.0
33,,237.0,205.0,36.0,St. Louis Blues,13.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.402,2007.0
31,,267.0,223.0,42.0,Tampa Bay Lightning,9.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.378,2007.0
36,,260.0,231.0,35.0,Toronto Maple Leafs,11.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.439,2007.0
41,,247.0,249.0,30.0,Montreal Canadiens,11.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.5,2008.0
40,,233.0,213.0,34.0,Nashville Predators,8.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.488,2008.0
51,,209.0,244.0,27.0,New Jersey Devils,4.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.622,2008.0
26,,279.0,201.0,47.0,New York Islanders,9.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.317,2008.0
43,,218.0,210.0,30.0,New York Rangers,9.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.524,2008.0
37,,251.0,218.0,34.0,Toronto Maple Leafs,11.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.451,2010.0
39,,215.0,213.0,33.0,Vancouver Canucks,10.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.476,2007.0
43,,231.0,242.0,31.0,Washington Capitals,8.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.524,2007.0
36,,237.0,217.0,35.0,Ottawa Senators,11.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.439,2008.0
44,,238.0,264.0,27.0,Philadelphia Flyers,11.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.537,2008.0
36,,252.0,208.0,39.0,Phoenix Coyotes,7.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.439,2008.0
